rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.04,0.2,94.39
2,2,Bayern Munich,German Bundesliga,3.26,0.36,93.5
3,3,Liverpool,Barclays Premier League,2.92,0.26,92.93
4,4,Barcelona,Spanish Primera Division,3.01,0.38,91.74
5,5,Chelsea,Barclays Premier League,2.4,0.45,85.44
6,6,Paris Saint-Germain,French Ligue 1,2.81,0.7,84.98
7,7,Real Madrid,Spanish Primera Division,2.57,0.59,84.54
8,8,Atletico Madrid,Spanish Primera Division,2.14,0.37,84.19
9,9,Olympiacos,Greek Super League,2.62,0.68,83.35
10,10,Ajax,Dutch Eredivisie,3.18,1.06,82.85
11,11,Atalanta,Italy Serie A,2.42,0.61,82.53
12,12,Tottenham Hotspur,Barclays Premier League,2.25,0.52,82.36
13,13,Bayer Leverkusen,German Bundesliga,2.51,0.7,81.76
14,14,Internazionale,Italy Serie A,2.24,0.54,81.64
15,15,Juventus,Italy Serie A,2.16,0.53,80.88
16,16,Valencia,Spanish Primera Division,2.26,0.6,80.55
17,17,FC Porto,Portuguese Liga,2.3,0.63,80.53
18,18,Napoli,Italy Serie A,2.31,0.67,79.9
19,19,Eibar,Spanish Primera Division,2.08,0.53,79.83
20,20,RB Leipzig,German Bundesliga,2.18,0.59,79.8
21,21,Getafe,Spanish Primera Division,1.96,0.46,79.7
22,22,PAOK Salonika,Greek Super League,2.33,0.71,79.24
23,23,Sevilla FC,Spanish Primera Division,2.27,0.68,79.09
24,24,FC Salzburg,Austrian T-Mobile Bundesliga,2.66,0.94,79.08
25,25,Borussia Dortmund,German Bundesliga,2.36,0.74,79.05
26,26,Everton,Barclays Premier League,2.0,0.56,78.05
27,27,Athletic Bilbao,Spanish Primera Division,1.92,0.51,77.89
28,28,Arsenal,Barclays Premier League,2.39,0.84,77.36
29,29,Real Sociedad,Spanish Primera Division,2.0,0.6,76.91
30,30,Benfica,Portuguese Liga,2.44,0.92,76.42
31,31,Leganes,Spanish Primera Division,1.74,0.46,76.24
32,32,TSG Hoffenheim,German Bundesliga,2.6,1.06,75.97
33,33,Young Boys,Swiss Raiffeisen Super League,2.64,1.08,75.91
34,34,Manchester United,Barclays Premier League,2.17,0.77,75.7
35,35,Lyon,French Ligue 1,2.29,0.86,75.54
36,36,FC Krasnodar,Russian Premier Liga,1.98,0.65,75.51
37,37,PSV,Dutch Eredivisie,2.38,0.93,75.22
38,38,Villarreal,Spanish Primera Division,2.12,0.77,74.85
39,39,Real Betis,Spanish Primera Division,1.98,0.7,74.41
40,40,Leicester City,Barclays Premier League,1.95,0.67,74.41
41,41,AS Roma,Italy Serie A,2.17,0.83,74.35
42,42,AC Milan,Italy Serie A,1.89,0.65,74.12
43,43,Espanyol,Spanish Primera Division,2.01,0.73,74.0
44,44,Palmeiras,Brasileiro Série A,1.85,0.66,73.05
45,45,Wolverhampton,Barclays Premier League,1.87,0.67,73.02
46,46,Lille,French Ligue 1,1.88,0.7,72.55
47,47,Lazio,Italy Serie A,2.05,0.84,72.09
48,48,Galatasaray,Turkish Turkcell Super Lig,2.25,0.99,72.07
49,49,Shakhtar Donetsk,UEFA Europa League,2.15,0.93,71.79
50,50,Eintracht Frankfurt,German Bundesliga,2.04,0.87,71.37
51,51,Girona FC,Spanish Primera Division,1.83,0.76,70.36
52,52,SD Huesca,Spanish Primera Division,2.01,0.89,70.18
53,53,Crystal Palace,Barclays Premier League,1.99,0.89,70.08
54,54,Zenit St Petersburg,Russian Premier Liga,2.04,0.93,70.06
55,55,CSKA Moscow,Russian Premier Liga,1.86,0.79,70.0
56,56,Sporting CP,Portuguese Liga,1.94,0.86,69.89
57,57,Celta Vigo,Spanish Primera Division,2.03,0.93,69.78
58,58,Basel,Swiss Raiffeisen Super League,2.13,1.0,69.71
59,59,Club Brugge,Belgian Jupiler League,2.09,0.98,69.62
60,60,Torino,Italy Serie A,1.81,0.77,69.48
61,61,Genk,Belgian Jupiler League,1.98,0.91,69.38
62,62,Alavés,Spanish Primera Division,1.76,0.75,69.22
63,63,Newcastle,Barclays Premier League,1.79,0.78,68.91
64,64,Werder Bremen,German Bundesliga,2.02,0.96,68.87
65,65,Dynamo Kiev,UEFA Europa League,1.98,0.94,68.7
66,66,VfL Wolfsburg,German Bundesliga,1.98,0.95,68.49
67,67,Sampdoria,Italy Serie A,1.94,0.92,68.3
68,68,Borussia Monchengladbach,German Bundesliga,1.95,0.93,68.28
69,69,Marseille,French Ligue 1,1.78,0.8,68.15
70,70,St Etienne,French Ligue 1,1.81,0.84,67.96
71,71,Montpellier,French Ligue 1,1.66,0.72,67.79
72,72,Bologna,Italy Serie A,1.89,0.92,67.53
73,73,Levante,Spanish Primera Division,2.11,1.09,67.43
74,74,Besiktas,Turkish Turkcell Super Lig,2.34,1.28,67.43
75,75,Fiorentina,Italy Serie A,1.69,0.76,67.34
76,76,Real Valladolid,Spanish Primera Division,1.72,0.81,66.98
77,77,Lokomotiv Moscow,Russian Premier Liga,1.77,0.84,66.96
78,81,Flamengo,Brasileiro Série A,1.85,0.92,66.9
79,78,AFC Bournemouth,Barclays Premier League,2.06,1.09,66.71
80,79,Feyenoord,Dutch Eredivisie,2.17,1.18,66.66
81,80,West Ham United,Barclays Premier League,1.93,0.99,66.61
82,82,Nantes,French Ligue 1,1.67,0.79,66.34
83,83,Southampton,Barclays Premier League,1.85,0.95,66.02
84,84,Watford,Barclays Premier League,1.96,1.06,65.53
85,85,Burnley,Barclays Premier League,1.81,0.94,65.48
86,86,Mainz,German Bundesliga,2.01,1.1,65.32
87,87,Genoa,Italy Serie A,1.67,0.84,65.18
88,88,AEK Athens,Greek Super League,1.61,0.8,64.91
89,89,Schalke 04,German Bundesliga,1.78,0.95,64.61
90,90,Rayo Vallecano,Spanish Primera Division,1.82,0.99,64.54
91,91,Leeds United,English League Championship,1.81,0.98,64.41
92,92,Rangers,Scottish Premiership,1.92,1.08,64.23
93,93,Ludogorets,UEFA Europa League,1.68,0.89,64.16
94,94,LASK Linz,Austrian T-Mobile Bundesliga,1.92,1.09,64.07
95,95,FC Copenhagen,Danish SAS-Ligaen,2.13,1.28,63.72
96,96,AS Monaco,French Ligue 1,1.67,0.9,63.53
97,97,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.51,0.77,63.36
